PostalCode,Baseline,HighRisk_Materials,Age_Targeted,Node_Fix,Material_Weighted,Improvement_HighRisk_Materials_%,Improvement_Age_Targeted_%,Improvement_Node_Fix_%,Improvement_Material_Weighted_%
M4S,2.6295118033885957e-05,2.776432067155838e-05,2.8427746117115022e-05,2.6505181670188903e-05,2.6999084532260894e-05,-5.587358975833809,-8.110357521425811,-0.7988693415722324,-2.6771756546890213
M9P,2.375802493095398e-05,2.499105268716812e-05,2.5718489229679107e-05,2.451055461168289e-05,2.4287450909614564e-05,-5.189942176580704,-8.25179830572055,-3.1674757599418553,-2.2284090542004704
M3H,2.4140285193920135e-05,2.5648091197013854e-05,2.5819781363010407e-05,2.301019513607025e-05,2.442103898525238e-05,-6.246015699406353,-6.957234165208879,4.681345099164378,-1.1630094221212992
M1L,2.826077139377594e-05,3.007420825958252e-05,3.028981876373291e-05,1.9484029293060302e-05,2.9173956274986267e-05,-6.416798892495781,-7.179731018962351,31.05627223837421,-3.231280804357107
M2H,1.937037640810013e-05,2.0474191009998323e-05,2.116034150123596e-05,1.9373242318630218e-05,1.9739470422267914e-05,-5.698467487893575,-9.240734694176208,-0.014795326996794055,-1.9054560757706298
M2K,2.6135716021060944e-05,2.783685517311096e-05,2.7888253152370453e-05,2.3855758011341095e-05,2.68725506067276e-05,-6.508867599721347,-6.705525610613698,8.723533756957684,-2.819263053948447
M1V,1.4326168179512024e-05,1.4987604081630708e-05,1.6496187925338745e-05,1.594566172361374e-05,1.4694259643554688e-05,-4.61697708578215,-15.147244668885609,-11.30444319659578,-2.569364392699754
M3J,1.9836257994174958e-05,2.0973868906497955e-05,2.1474442183971406e-05,2.0332292139530182e-05,1.9789238393306733e-05,-5.735007644370545,-8.258534398360371,-2.500643747933142,0.23703866365336135
M2R,2.6019568860530854e-05,2.779098850488663e-05,2.7586115658283233e-05,2.3088679254055024e-05,2.639471274614334e-05,-6.808028426031474,-6.020648559356714,11.264174368860138,-1.4417759480309555
M3A,2.348360276222229e-05,2.4612035155296325e-05,2.554212164878845e-05,2.3976586043834685e-05,2.413206946849823e-05,-4.805192816876144,-8.765771195370702,-2.099265971256542,-2.761359544537677
M9B,2.739661639928818e-05,2.9154627799987793e-05,2.9385677576065064e-05,2.3203077137470244e-05,2.8119294285774233e-05,-6.416892418675801,-7.260243921320754,15.306778036746508,-2.63783627858815
M9A,2.569055438041687e-05,2.707897222042084e-05,2.780075991153717e-05,2.425690770149231e-05,2.637090563774109e-05,-5.404390343021624,-8.213935362674949,5.580442748317588,-2.6482544800311114
M8V,2.913379204273224e-05,3.123081231117249e-05,3.103885853290558e-05,1.5945661723613742e-06,3.0069517016410827e-05,-7.197896742601939,-6.539026870855211,94.52674691292322,-3.211820048368933
M9M,2.0649853348731994e-05,2.1764236211776732e-05,2.247610729932785e-05,2.1625096082687376e-05,2.0916600823402404e-05,-5.396565506907906,-8.843907604351081,-4.722758643781202,-1.291764499077131
M5R,2.436679410934448e-05,2.5591815292835237e-05,2.639173448085785e-05,2.5059955537319183e-05,2.4948694944381713e-05,-5.027420423029589,-8.310245338088274,-2.844696864364604,-2.388089431978566
M1H,2.1639257967472078e-05,2.290215826034546e-05,2.3298480153083803e-05,2.1696249485015868e-05,2.1881021201610565e-05,-5.836153415111378,-7.667648253493034,-0.2633709419678773,-1.1172436434830793
M5C,1.64849334359169e-05,1.737366646528244e-05,1.8205660343170165e-05,1.758065330982208e-05,1.6481941342353822e-05,-5.3911836090838925,-10.438179286209284,-6.646795864627871,0.01815047403563415
M9C,2.7265150964260102e-05,2.91100834608078e-05,2.9038331985473633e-05,2.3858636021614076e-05,2.7850930631160736e-05,-6.766632244090951,-6.503470395369766,12.494025604741301,-2.148455615259527
